question,correct,difficulty_level,time,quiz_area,option_0,option_1,option_2,option_3
Pó ndáh ā nŋwɑ́' wū,Nkwě'ŋwɑ̀'nì,1,20,Zhíghə̀ə̄lɑ̄',Nkwě'ŋwɑ̀'nì,Pō,Ntúmbō,Mbìyā'
"Ngɑ̌ mɑ́ tɑ̀' nkhùvǎmsíé, mbɑ̄ mɑ̀ ngɑ̌ ghʉ̌ nkhù tɑ̀ mɑ̀ pɑ́ wěn lɑ̀ sāh nzhī. Ngɑ̌ nnēē mbɑ̄ mɑ̀ ngɑ̌ ghʉ̌ lěn cɑ̀'. Nú ndōm wèn, à yīī nā nkhʉ́ɑ́. Ngɑ̌ mɑ́ ...",Ngwě'ngwè',1,20,Zhíghə̀ə̄lɑ̄',Ngwě'ngwè',Ngòfāt,Nū,Shīmɑ̂nkò'
"Nú ndōm wèn, à yīī kɑ́ nkhʉ́ɑ́ ɑ̄ ?",Ngwě'ngwè',1,20,Zhíghə̀ə̄lɑ̄',Ngwě'ngwè',Ntʉ́ntāk,Mbɑ̀ɑ̄ndōm,Mvī
"Ǹ kɑ̀' ghʉ́ nkhù bɑ̄. Ngɑ̌ mɑ́ tɑ̀' nkhùvǎmsíé, mbɑ̄ mɑ̀ ngɑ̌ ŋà', nnēē mbɑ̄ mɑ̀ ngɑ̌ ghʉ̌ lěn mbɔ̌shʉ́ɑ́. Ngɑ̌ mɑ́ ",Ntʉ́ntāk,1,20,Zhíghə̀ə̄lɑ̄',Ntʉ́ntāk,Ngwě'ngwè',Nū,Nə̀ə̀lāk
"Nù mɑ̌njā' wèn, ò mɑ̄nkwé' làh mbūāsī nthʉ̄ ī, mɑ̀ ǒ ndēn mbú í mɑ́ kɑ́ ? ",Mbə̄ə̄ mbɑ̀!,1,20,Zhíghə̀ə̄lɑ̄',Mbə̄ə̄ mbɑ̀!,Yáá mɑ̀ lāhā?,Nǔ kɑ́ bɑ́ ɑ̄?,Zhʉ̄ɑ̄' nshù ō
"Ngɑ̌ mɑ́ tɑ̀' ghə̀ə̀ mɑ̀ pó nnēē ngə́ə́, ɑ́ lǎh sēnsī wèn, nzhī ndēn mɑ́ ɑ́ lǎh pūāsī nthʉ́ wèn ntìè' yì wěn píé mbú í lɑ́",Cə̄ə̄ ngwāh,1,20,Zhíghə̀ə̄lɑ̄',Cə̄ə̄ ngwāh,Nǔ kɑ́ bɑ́ ɑ̄?,Zhʉ̄ɑ̄' nshù ō,Ǒ nshwīē' tɑ̀'
Nù sǐ' nnʉ́ɑ́ wènòk ngʉ́ kɑ́ bɑ̄ ɑ̄ ?,Kǎmthʉ̄,1,20,Zhíghə̀ə̄lɑ̄',Kǎmthʉ̄,Nə̀ə̀,Ndàm,Sīē
Yáá kō kāp nhɑ̄ ntú' ndɑ́'sí mɑ́ kɑ́ ?,Ngɑ̌ yàhsì,2,20,Zhíghə̀ə̄lɑ̄',Ngɑ̌ yàhsì,Ngɑ̌ mɑ̀mmwēn,Zɑ́ hèē nkhʉ̌ ncāt,Yáá ghěn kǒ Mɑ̂nǐnkwèè
Corona Virus mɑ́ kɑ́ mɑ̀ ghə̀ə̄lɑ̄' ɑ̄ ?,Mɑ̄ŋūfámyèh,1,20,Zhíghə̀ə̄lɑ̄',Mɑ̄ŋūfámyèh,Nkɑ̌ 'nzī,Nzī,Ghòòfī
Yàā ntīē nə̀ə̀ tɑ́ pó nnēē ndáh ntēh ndòò ù ?,Mvī,1,20,Zhíghə̀ə̄lɑ̄',Mvī,Mvʉ̄ɑ̄,Nə̀ə̀lāk,Nkɑ̀ndâk
Kɑ́ bɑ́ nnēē njām nɑ́ thʉ̄ pō mɑ̄ nkɑ̄ɑ̄ mfāt ?,Tə́ə́thʉ̄,1,20,Zhíghə̀ə̄lɑ̄',Tə́ə́thʉ̄,Nsə̀ə̀,Mbà',Kǒbthʉ̄
"Sī ndɑ̌' ndʉ̀ndām bɑ̄ , kɑ́ bɑ́ mbát nhɑ̄ mbūànì ? (Pèn ŋwɑ́' ndɑ̌' nshʉ̀')",Fìènkàk,1,20,Zhíghə̀ə̄lɑ̄',Fìènkàk,Nkɑ̄ɑ̄,Ngʉ́ngà',Nzhwīè wèn
Yàā nə̀ə̀ tɑ́ pó nnēē ncēh mɑ́ Nzhînù-Nshʉ́ɑ́-Fʉ̀,Sūā,1,20,Zhíghə̀ə̄lɑ̄',Sūā,Nkɑ̀ndâk,Kə̄ə̄,Mvîkò
"Ngɑ̌ mfōh ngāp, mbɑ̄ mɑ̀ ngɑ̌ kóh nshʉ́ɑ́ ī, mɑ̄nsī mɑ̀ kò",Sâkngāp,1,20,Zhíghə̀ə̄lɑ̄',Sâkngāp,Ywè'sāk,Fhʉ̀ɑ̀mɑ́lə̄ə̄,Zʉ̄'
Ngáp nnēē mfāt kɑ́ ?,Ngòfāt,1,20,Zhíghə̀ə̄lɑ̄',Ngòfāt,Ngāp,Kwèlè',Mbɑ̀ɑ̀
"Pō sǐ' ndēn mɑ́ sàŋsāŋ bɑ̄, pó ndēn mɑ́ ...","Nkwē', Nkwā', Nkwā'lā'",2,20,Zhíghə̀ə̄lɑ̄',"Nkwē', Nkwā', Nkwā'lā'",Lòh,Ndhímōh,Vhʉ́ndòh
"Pō lěn mɑ́ nǔkɑ́, mɑ̀ ǒ mbɑ́' mɑ́ ...",Mbī'tū mɑ́,1,20,Zhíghə̀ə̄lɑ̄',Mbī'tū mɑ́,Sī nēhē,Fhʉ̄ sáh ndó,Nǔ kʉ̀kə̀ə̀ pí tāānāh
"Ǹ kɑ̀' ghū' bɑ̄, ngɑ̌ ...",Ŋà',1,20,Zhíghə̀ə̄lɑ̄',Ŋà',Sàh,Ghɑ̀',Kàm
Wú mbɑ̄ tɑ̀ nŋá' nsáh pō lēn mɑ́ yáá ...,Ntèè yāā,1,20,Zhíghə̀ə̄lɑ̄',Ntèè yāā,Ghū',Kàm,Sɑ̀'
Vǎm wěn mbɑ̄  tɑ̀ ngū' pō lēn mɑ́ ghʉ̌ ...,Mbù' vàm,1,20,Zhíghə̀ə̄lɑ̄',Mbù' vàm,Vǎm fʉ̀,Vǎm nzāt,Vǎm sʉ̄ʉ̄
Wū yì njòkvʉ́ʉ́  ndʉ́' ndáh ngóó mbɑ̀ɑ̀ lɑ́ mɑ́ ...,Zhʉ̀ɑ̀',1,20,Zhíghə̀ə̄lɑ̄',Zhʉ̀ɑ̀',Shù'lə̀ə̀,Ngāh,"1. Khʉ̀ʉ̀, mʉ̄ɑ̄ mbòk. 2. Zʉ̌' làh mmɑ́' njòò"
"Ntám tʉ́ɑ́kātlɑ́ Sɑ̄'sūā ngámndʉ̄ɑ̄', kɑ́ tɑ́ Sɑ̄'sūā lɑ̀lēn mbí pɑ̀nə̀ə̀ tɑ̀ yāā mɑ̄nshʉ́ɑ́ yɑ̄ɑ̄ pō cō sīē mɑ̄nzhwíé ē ?",Ngɑ̌ cɑ̀'sì yēē lɑ́ pɑ̀mfhʉ́pʉ̀,1,20,Zhíghə̀ə̄lɑ̄',Ngɑ̌ cɑ̀'sì yēē lɑ́ pɑ̀mfhʉ́pʉ̀,Pěn nkíkén tɑ̀',Pěn sáá ngʉ́ kɑ́?,Pèn lā' ywààsì!
Mɑ̄ ā ndú á mɑ́  wɑ̌ mbú à ?,Mɑ̄lū à,1,20,Zhíghə̀ə̄lɑ̄',Mɑ̄lū à,Ngām à,Mɑ̂ndə̀ə̀,Mōònkō' à
"Mēn ngà'mbhǐ ǎ, lɑ̄ mēn ngà'njǎm ǎ mɑ́  wɑ̌ mbú à ?",Mēn à,1,20,Zhíghə̀ə̄lɑ̄',Mēn à,Mɑ̂nì,Mēn ì,Ngà'nkɑ̄ɑ̄
Yàā ntīē wúzɑ́ tɑ́ pō nnēē ncēh zén yāā ntìè' yì nzhìè wúzɑ́ mɑ̀nkō wèn lɑ́ ɑ̄ ?,Kū',1,20,Zhíghə̀ə̄lɑ̄',Kū',Lʉ̀ɑ̀',Nkwēn,Tə̄ə̄
Kɑ́ tɑ́ pó ntām tú wèn ntìè' yì fɑ̌' tɑ̀' mbè' mfɑ̀' lɑ́ ɑ̄ ?,Ngāā,1,20,Zhíghə̀ə̄lɑ̄',Ngāā,Lū',Lōh,Ŋwɑ̀'nǐpàhsì
Pō ndáh ā ncāk mbɑ̀ yàā njâ'wū lɑ̄ kɑ́ mbɑ̄ ntám tɑ̀' ghə̀ə̀ lɑ́,Ŋwɑ̀'nǐpàhsì,1,20,Zhíghə̀ə̄lɑ̄',Ŋwɑ̀'nǐpàhsì,Ncə̀ə̀,Mbǔ'nkèn,Nàm
"Ngɑ̌ zí pōō pʉ́ɑ́ nkà'nshʉ̀', ngɑ̌ mɑ́ ...",Mɑ̂nì,1,20,Zhíghə̀ə̄lɑ̄',Mɑ̂nì,Ngāā,Mɑ̂fʉ̀,Ndʉ̀ɑ̀
 Pó mbát ncēh pɑ̀táánì mɑ́ kɑ́ ?,Mbàtndʉ̄ɑ̄,1,20,Zhíghə̀ə̄lɑ̄',Mbàtndʉ̄ɑ̄,Mbàtkām,Nzhì,Nkǎkmɑ̄nì
Pó ncēh ngà'njǎm póónì mɑ́ kɑ́ ?,Nkǎkmɑ̄nì,1,20,Zhíghə̀ə̄lɑ̄',Nkǎkmɑ̄nì,Mbàtkām,Nkômōō,Ngʉ̀ɑ̀'ndʉ̄ɑ̄
Pó mbát ncēh pɑ̀mɑ́nì mɑ́ kɑ́ ?,Ndʉ̀mbʉ́ɑ́,1,20,Zhíghə̀ə̄lɑ̄',Ndʉ̀mbʉ́ɑ́,Mɑ̂fʉ̀,Mbàtkām,Mbàtndʉ̄ɑ̄
Pó ncēh ngà'mbhǐ póónì mɑ́ kɑ́ ?,Mbàtkām,1,20,Zhíghə̀ə̄lɑ̄',Mbàtkām,Nkǎkmɑ̄nì,Ngʉ̀ɑ̀'ndʉ̄ɑ̄,Fìènkàk
Pó mbát ncēh póónì mɑ́ kɑ́ ?,Ngʉ̀ɑ̀'ndʉ̄ɑ̄,1,20,Zhíghə̀ə̄lɑ̄',Ngʉ̀ɑ̀'ndʉ̄ɑ̄,Mbàtkām,Nkǎkmɑ̄nì,Ngòfāt
Nkwè'nǐ mbɑ̄ ndʉ̄ɑ̄ mɑ̄vʉ̀ ghʉ̄ lāhā mɑ̀ mōō ?,À tīē mōō,2,20,Zhíghə̀ə̄lɑ̄',À tīē mōō,À nē' mōō,À shīī mōō,À lə̄ə̄ndʉ̄ɑ̄
Nǔ lɑ́' pɑ̀wèn,Yáá lɑ̀ pɑ̄h i,1,20,Zhíghə̀ə̄lɑ̄',Yáá lɑ̀ pɑ̄h i,À khʉ̄ɑ̀,Ǎ lɑ̀ sɑ́',À lə̄ə̄ndʉ̄ɑ̄
"Ngɑ̌  mɑ́  mǒ' zén mbɑ̀ɑ̀. Pó ndēn mɑ́ mbɑ̀ɑ̄  wènòk, mbɑ̀ɑ̄  mvī, mbɑ̀ɑ̄  ngāp, tɑ́' nthí mbʉ́ɑ́ lēn mɑ́ mbɑ̀ɑ̄  tə́ə́thʉ̄ mɑ̀  pó ndēn mɑ́ kɑ́ ?",Nə̀nə̀ə̀,3,20,Zhíghə̀ə̄lɑ̄',Nə̀nə̀ə̀,Nshʉ̀ɑ̀ncò,Nkùɑ̀,Mbēnmbēn
Pó ndɑ́ɑ́ fʉ̀ mɑ́ mbə̀lòknshì. Kɑ́ bɑ́ mbɑ̄ ɑ̄ ?,"Tɑ̀' nə̀ə̀ mɑ̀ nkwèn ǐ pɑ̀ɑ̀sì, à mɑ̄ nsī nshì",3,20,Zhíghə̀ə̄lɑ̄',"Tɑ̀' nə̀ə̀ mɑ̀ nkwèn ǐ pɑ̀ɑ̀sì, à mɑ̄ nsī nshì",Nkwě'ŋwɑ̀'nì,Zhínǔ,nsə̄ə̄
Mōòfí nkwé' yāā tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄,Pēn,1,20,Zhíghə̀ə̄lɑ̄',Pēn,Hù,Kǎ'nkwɑ̀',Nshì
"Ǒ mbɑ̄  tɑ̀ mbēn ncām mbʉ́ɑ́, à zhīē tɑ̀' nə̀ə̀",Mbēnmbēn,1,20,Zhíghə̀ə̄lɑ̄',Mbēnmbēn,Kə̀ə́kə̀ə̀,Nū,Kə̄ə̄
"Ǹ sǐ' ngə́ə́ nù bɑ̄, mɑ̀ pō sǐ' njū' ā bɑ̄",Nzhì,1,20,Zhíghə̀ə̄lɑ̄',Nzhì,Yɑ̀ɑ̀,Ntīē,Lām
Mʉ̀nzhwìé mbɑ̄  mɑ̄ à ngwè'. Ò těh mɑ́ mɑ̄nzhì mɑ̀ ǎ nzhīē kɑ́ ?,Nzhì,1,20,Zhíghə̀ə̄lɑ̄',Nzhì,Kǎmthʉ̄,Mbɑ̄',Ŋwɑ̄'
"Làh ntō', ǹ sī njàm bɑ̄ , làh ngén mbhì yáá mɑ̀njā',  làh mméhsí, ngɑ̌ mbé' fāt",Mbìyā',1,20,Zhíghə̀ə̄lɑ̄',Mbìyā',Zīī,Nkǎkmɑ̄nì,Mbə̄ə̄ mbɑ̀
"Làh ntō', ngɑ̌ mɑ́ mbām, làh ngén mbhì, ngɑ̌ mɑ́ sìì yì pó nsɑ́' mɑ̄ ntā' wú mʉ̀ lɑ́, làh mméhsí, ngɑ̌ mɑ́ tɑ̀’ líé’nzɑ́ mbèè. Ngɑ̌ mɑ́ …",Nkɑ́ɑ́ntēē,2,20,Zhíghə̀ə̄lɑ̄',Nkɑ́ɑ́ntēē,Nshǐmōh,Tə́ə́thʉ̄,Kǔ'ngà'
Yàá sìsíé'ntèè bɑ́ ndɑ́'sí wènòk mɑ́ làh mbōōsī mfɑ́’ wú mbɑ̄ mɑ̀ yáá pè’ è ?,Ngʉ́ngà',1,20,Zhíghə̀ə̄lɑ̄',Ngʉ́ngà',Zàk,Mvī,Mɑ̄ŋūfámyèh
Làh nzhwíáh/Njwíáh wěn ndɑ́'sí mɑ́ kɑ́ ?,Ndíí mī,3,20,Zhíghə̀ə̄lɑ̄',Ndíí mī,Mvēn ī,Nkám ī,Nsōk ī nù
Làh nzhíé wú ndɑ́'sí mɑ́ kɑ́ ?,Ntō',2,20,Zhíghə̀ə̄lɑ̄',Ntō',Nnāk,Yɑ̀ɑ̀,Nkǎkmɑ̄nì
Ncǎ' Khʉ̀khʉ́ɑ́ ndɑ́'sí mɑ́ kɑ́ ?,Nǔ mbā' pí mʉ̀nzhwīē,3,20,Zhíghə̀ə̄lɑ̄',Nǔ mbā' pí mʉ̀nzhwīē,Nǔzhwìè,Nǔnkɑ̄ɑ̄,Nǔnjɑ̀'
"Mēn à yì mʉ̄nzhwīē sǐ' nnák bɑ̄, ǎ mɑ́ ...",Nkàālɑ̀,1,20,Zhíghə̀ə̄lɑ̄',Nkàālɑ̀,Mbùmbū',Ngwɑ̀fʉ̀ɑ̀,Mbǔ'ntōk
"Mɑ̄vǒ sǐ' ngə́ə́ nù bɑ̄, ǎ mɑ́ ...",Mbùmbū',1,20,Zhíghə̀ə̄lɑ̄',Mbùmbū',Mbǔ'ntōk,Ngwɑ̀fʉ̀ɑ̀,Tə́ə́thʉ̄
